NONMMUT000025.2 	NONHSAT126642.2
NONMMUT010036.2 	NONHSAT015358.2
NONMMUT010048.2 	NONHSAT119599.2
NONMMUT010057.2 	NONHSAT176001.1
NONMMUT010060.2 	NONHSAT146178.2
NONMMUT010064.2 	NONHSAT071019.2
NONMMUT010097.2 	NONHSAT146463.2
NONMMUT010162.2 	NONHSAT145960.2
NONMMUT010211.2 	NONHSAT090691.2
NONMMUT010227.2 	NONHSAT174890.1
NONMMUT010231.2 	NONHSAT127031.2
NONMMUT010262.2 	NONHSAT175943.1
NONMMUT010274.2 	NONHSAT175933.1
NONMMUT010284.2 	NONHSAT145626.2
NONMMUT010308.2 	NONHSAT237735.1
NONMMUT010391.2 	NONHSAT237006.1
NONMMUT010405.2 	NONHSAT145456.2
NONMMUT010415.2 	NONHSAT175909.1
NONMMUT010447.2 	NONHSAT174826.1
NONMMUT010457.2 	NONHSAT237707.1
NONMMUT010464.2 	NONHSAT174820.1
NONMMUT010497.2 	NONHSAT031881.2
NONMMUT010524.2 	NONHSAT150046.1
NONMMUT010560.2 	NONHSAT159680.1
NONMMUT010588.2 	NONHSAT174812.1
NONMMUT010616.2 	NONHSAT010349.2
NONMMUT010633.2 	NONHSAT236956.1
NONMMUT010644.2 	NONHSAT091181.2
NONMMUT010701.2 	NONHSAT174758.1
NONMMUT010706.2 	NONHSAT144886.2
NONMMUT010707.2 	NONHSAT176697.1
NONMMUT010719.2 	NONHSAT030428.2
NONMMUT010720.2 	NONHSAT144861.2
NONMMUT010733.2 	NONHSAT144828.2
NONMMUT010748.2 	NONHSAT174734.1
NONMMUT010788.2 	NONHSAT218780.1
NONMMUT010802.2 	NONHSAT175069.1
NONMMUT010806.2 	NONHSAT175067.1
NONMMUT010807.2 	NONHSAT018449.2
NONMMUT010826.2 	NONHSAT052722.2
NONMMUT010833.2 	NONHSAT052709.2
NONMMUT010837.2 	NONHSAT175057.1
NONMMUT010855.2 	NONHSAT237121.1
NONMMUT010856.2 	NONHSAT052682.2
NONMMUT010864.2 	NONHSAT175052.1
NONMMUT010867.2 	NONHSAT052655.2
NONMMUT010902.2 	NONHSAT052598.2
NONMMUT010913.2 	NONHSAT176066.1
NONMMUT010945.2 	NONHSAT176880.1
NONMMUT011005.2 	NONHSAT176076.1
NONMMUT011008.2 	NONHSAT244421.1
NONMMUT011025.2 	NONHSAT052946.2
NONMMUT011054.2 	NONHSAT053006.2
NONMMUT011058.2 	NONHSAT053014.2
NONMMUT011065.2 	NONHSAT237857.1
NONMMUT011085.2 	NONHSAT176117.1
NONMMUT011113.2 	NONHSAT237159.1
NONMMUT011115.2 	NONHSAT053108.2
NONMMUT011116.2 	NONHSAT053109.2
NONMMUT011139.2 	NONHSAT237167.1
NONMMUT011153.2 	NONHSAT175172.1
NONMMUT011198.2 	NONHSAT053229.2
NONMMUT011213.2 	NONHSAT055700.2
NONMMUT011242.2 	NONHSAT238095.1
NONMMUT011247.2 	NONHSAT237384.1
NONMMUT011282.2 	NONHSAT237077.1
NONMMUT011288.2 	NONHSAT237360.1
NONMMUT011348.2 	NONHSAT176402.1
NONMMUT011353.2 	NONHSAT146422.2
NONMMUT011356.2 	NONHSAT196245.1
NONMMUT011370.2 	NONHSAT237328.1
NONMMUT011384.2 	NONHSAT203225.1
NONMMUT011393.2 	NONHSAT054926.2
NONMMUT011395.2 	NONHSAT054914.2
NONMMUT011397.2 	NONHSAT054919.2
NONMMUT011400.2 	NONHSAT176393.1
NONMMUT011439.2 	NONHSAT238064.1
NONMMUT011539.2 	NONHSAT023860.2
NONMMUT011554.2 	NONHSAT176353.1
NONMMUT011559.2 	NONHSAT071069.2
NONMMUT011565.2 	NONHSAT176351.1
NONMMUT011580.2 	NONHSAT175358.1
NONMMUT011623.2 	NONHSAT176332.1
NONMMUT011634.2 	NONHSAT176328.1
NONMMUT011670.2 	NONHSAT238034.1
NONMMUT011671.2 	NONHSAT176321.1
NONMMUT011676.2 	NONHSAT054508.2
NONMMUT011703.2 	NONHSAT054433.2
NONMMUT011719.2 	NONHSAT054407.2
NONMMUT011724.2 	NONHSAT054405.2
NONMMUT011726.2 	NONHSAT175296.1
NONMMUT011737.2 	NONHSAT175289.1
NONMMUT011742.2 	NONHSAT176308.1
NONMMUT011749.2 	NONHSAT258696.1
NONMMUT011823.2 	NONHSAT053369.2
NONMMUT011826.2 	NONHSAT253147.1
NONMMUT011847.2 	NONHSAT237872.1
NONMMUT011855.2 	NONHSAT237175.1
NONMMUT011862.2 	NONHSAT237179.1
NONMMUT011869.2 	NONHSAT053457.2
NONMMUT011899.2 	NONHSAT175188.1
NONMMUT011920.2 	NONHSAT053525.2
NONMMUT011938.2 	NONHSAT176183.1
NONMMUT011988.2 	NONHSAT176954.1
NONMMUT011989.2 	NONHSAT053627.2
NONMMUT012024.2 	NONHSAT176210.1
NONMMUT012032.2 	NONHSAT053703.2
NONMMUT012038.2 	NONHSAT176217.1
NONMMUT012053.2 	NONHSAT176223.1
NONMMUT012063.2 	NONHSAT053777.2
NONMMUT012068.2 	NONHSAT137592.2
NONMMUT012112.2 	NONHSAT175242.1
NONMMUT012119.2 	NONHSAT176245.1
NONMMUT012180.2 	NONHSAT160099.1
NONMMUT012194.2 	NONHSAT142219.2
NONMMUT012196.2 	NONHSAT176257.1
NONMMUT012221.2 	NONHSAT237973.1
NONMMUT012231.2 	NONHSAT175265.1
NONMMUT012262.2 	NONHSAT054167.2
NONMMUT012288.2 	NONHSAT150238.1
NONMMUT012294.2 	NONHSAT175456.1
NONMMUT012301.2 	NONHSAT175455.1
NONMMUT012351.2 	NONHSAT175464.1
NONMMUT012373.2 	NONHSAT055267.2
NONMMUT012392.2 	NONHSAT176460.1
NONMMUT012423.2 	NONHSAT013781.2
NONMMUT012434.2 	NONHSAT055431.2
NONMMUT012460.2 	NONHSAT237427.1
NONMMUT012470.2 	NONHSAT055408.2
NONMMUT012506.2 	NONHSAT175490.1
NONMMUT012517.2 	NONHSAT176465.1
NONMMUT012562.2 	NONHSAT055585.2
NONMMUT012582.2 	NONHSAT176527.1
NONMMUT012592.2 	NONHSAT055644.2
NONMMUT012594.2 	NONHSAT055643.2
NONMMUT012616.2 	NONHSAT055687.2
NONMMUT012722.2 	NONHSAT055859.2
NONMMUT012775.2 	NONHSAT176573.1
NONMMUT012784.2 	NONHSAT175616.1
NONMMUT012807.2 	NONHSAT146183.2
NONMMUT012883.2 	NONHSAT056115.2
NONMMUT012896.2 	NONHSAT108992.2
NONMMUT012905.2 	NONHSAT175655.1
NONMMUT012907.2 	NONHSAT204379.1
NONMMUT012919.2 	NONHSAT175668.1
NONMMUT012935.2 	NONHSAT175679.1
NONMMUT012953.2 	NONHSAT237538.1
NONMMUT012958.2 	NONHSAT037009.2
NONMMUT012975.2 	NONHSAT175703.1
NONMMUT012987.2 	NONHSAT175714.1
NONMMUT013074.2 	NONHSAT176661.1
NONMMUT013132.2 	NONHSAT175769.1
NONMMUT013180.2 	NONHSAT175784.1
NONMMUT013186.2 	NONHSAT102729.2
NONMMUT013193.2 	NONHSAT228113.1
NONMMUT013218.2 	NONHSAT181459.1
NONMMUT013248.2 	NONHSAT184360.1
NONMMUT013280.2 	NONHSAT235038.1
NONMMUT013285.2 	NONHSAT184352.1
NONMMUT013322.2 	NONHSAT069537.2
NONMMUT013329.2 	NONHSAT181429.1
NONMMUT013365.2 	NONHSAT184314.1
NONMMUT013384.2 	NONHSAT240409.1
NONMMUT013392.2 	NONHSAT240399.1
NONMMUT013437.2 	NONHSAT184272.1
NONMMUT013440.2 	NONHSAT184270.1
NONMMUT013443.2 	NONHSAT205716.1
NONMMUT013514.2 	NONHSAT181273.1
NONMMUT013551.2 	NONHSAT241820.1
NONMMUT013593.2 	NONHSAT072718.2
NONMMUT013697.2 	NONHSAT240323.1
NONMMUT013704.2 	NONHSAT241681.1
NONMMUT013751.2 	NONHSAT240307.1
NONMMUT013775.2 	NONHSAT181165.1
NONMMUT013831.2 	NONHSAT254416.1
NONMMUT013892.2 	NONHSAT122631.2
NONMMUT013911.2 	NONHSAT119385.2
NONMMUT013966.2 	NONHSAT010630.2
NONMMUT013995.2 	NONHSAT211703.1
NONMMUT014000.2 	NONHSAT211698.1
NONMMUT014075.2 	NONHSAT254418.1
NONMMUT014083.2 	NONHSAT039282.2
NONMMUT014110.2 	NONHSAT107511.2
NONMMUT014113.2 	NONHSAT234122.1
NONMMUT014118.2 	NONHSAT168240.1
NONMMUT014182.2 	NONHSAT168272.1
NONMMUT014201.2 	NONHSAT168277.1
NONMMUT014223.2 	NONHSAT168282.1
NONMMUT014234.2 	NONHSAT098169.2
NONMMUT014253.2 	NONHSAT168291.1
NONMMUT014273.2 	NONHSAT255304.1
NONMMUT014293.2 	NONHSAT036425.2
NONMMUT014295.2 	NONHSAT090388.2
NONMMUT014296.2 	NONHSAT036436.2
NONMMUT014297.2 	NONHSAT169229.1
NONMMUT014323.2 	NONHSAT168320.1
NONMMUT014346.2 	NONHSAT168336.1
NONMMUT014417.2 	NONHSAT234196.1
NONMMUT014568.2 	NONHSAT037154.2
NONMMUT014611.2 	NONHSAT037225.2
NONMMUT014618.2 	NONHSAT239437.1
NONMMUT014619.2 	NONHSAT170135.1
NONMMUT014622.2 	NONHSAT168527.1
NONMMUT014662.2 	NONHSAT168547.1
NONMMUT014669.2 	NONHSAT168556.1
NONMMUT014672.2 	NONHSAT181719.1
