NONMMUT000001.2 	NONHSAT212998.1
NONMMUT000107.2 	NONHSAT253669.1
NONMMUT000108.2 	NONHSAT215918.1
NONMMUT000109.2 	NONHSAT215918.1
NONMMUT000111.2 	NONHSAT215918.1
NONMMUT000113.2 	NONHSAT205325.1
NONMMUT000118.2 	NONHSAT004336.2
NONMMUT000120.2 	NONHSAT092570.2
NONMMUT000121.2 	NONHSAT127049.2
NONMMUT000123.2 	NONHSAT127057.2
NONMMUT000124.2 	NONHSAT127049.2
NONMMUT000125.2 	NONHSAT009240.2
NONMMUT000126.2 	NONHSAT127049.2
NONMMUT000127.2 	NONHSAT062782.2
NONMMUT000128.2 	NONHSAT077942.2
NONMMUT000129.2 	NONHSAT127057.2
NONMMUT000131.2 	NONHSAT192675.1
NONMMUT000132.2 	NONHSAT164313.1
NONMMUT000133.2 	NONHSAT060589.2
NONMMUT000136.2 	NONHSAT170983.1
NONMMUT000137.2 	NONHSAT113541.2
NONMMUT000138.2 	NONHSAT096108.2
NONMMUT000139.2 	NONHSAT199443.1
NONMMUT000141.2 	NONHSAT148809.1
NONMMUT000148.2 	NONHSAT203932.1
NONMMUT000150.2 	NONHSAT253921.1
NONMMUT000151.2 	NONHSAT252506.1
NONMMUT000152.2 	NONHSAT158910.1
NONMMUT000157.2 	NONHSAT166128.1
NONMMUT000162.2 	NONHSAT251827.1
NONMMUT000163.2 	NONHSAT127091.2
NONMMUT000164.2 	NONHSAT232777.1
NONMMUT000166.2 	NONHSAT032534.2
NONMMUT000167.2 	NONHSAT191706.1
NONMMUT000170.2 	NONHSAT215933.1
NONMMUT000173.2 	NONHSAT205434.1
NONMMUT000175.2 	NONHSAT127134.2
NONMMUT000176.2 	NONHSAT211994.1
NONMMUT000179.2 	NONHSAT013665.2
NONMMUT000180.2 	NONHSAT215555.1
NONMMUT000181.2 	NONHSAT124487.2
NONMMUT000182.2 	NONHSAT242100.1
NONMMUT000183.2 	NONHSAT242537.1
NONMMUT000185.2 	NONHSAT249379.1
NONMMUT000186.2 	NONHSAT187899.1
NONMMUT000187.2 	NONHSAT082317.2
NONMMUT000189.2 	NONHSAT208331.1
NONMMUT000190.2 	NONHSAT225981.1
NONMMUT000192.2 	NONHSAT212056.1
NONMMUT000193.2 	NONHSAT251741.1
NONMMUT000195.2 	NONHSAT106402.2
NONMMUT000196.2 	NONHSAT094343.2
NONMMUT000197.2 	NONHSAT031595.2
NONMMUT000199.2 	NONHSAT208967.1
NONMMUT000200.2 	NONHSAT226355.1
NONMMUT000202.2 	NONHSAT163505.1
NONMMUT000204.2 	NONHSAT087439.2
NONMMUT000205.2 	NONHSAT124098.2
NONMMUT000207.2 	NONHSAT060667.2
NONMMUT000209.2 	NONHSAT005568.2
NONMMUT000211.2 	NONHSAT253669.1
NONMMUT000212.2 	NONHSAT256453.1
NONMMUT000215.2 	NONHSAT170369.1
NONMMUT000217.2 	NONHSAT202290.1
NONMMUT000218.2 	NONHSAT251894.1
NONMMUT000220.2 	NONHSAT009236.2
NONMMUT000221.2 	NONHSAT241040.1
NONMMUT000222.2 	NONHSAT077793.2
NONMMUT000223.2 	NONHSAT219558.1
NONMMUT000227.2 	NONHSAT100538.2
NONMMUT000230.2 	NONHSAT040294.2
NONMMUT000231.2 	NONHSAT040294.2
NONMMUT000233.2 	NONHSAT040294.2
NONMMUT000234.2 	NONHSAT239266.1
NONMMUT000235.2 	NONHSAT099965.2
NONMMUT000236.2 	NONHSAT100502.2
NONMMUT000237.2 	NONHSAT246376.1
NONMMUT000238.2 	NONHSAT243266.1
NONMMUT000240.2 	NONHSAT241111.1
NONMMUT000242.2 	NONHSAT106645.2
NONMMUT000243.2 	NONHSAT004702.2
NONMMUT000245.2 	NONHSAT225775.1
NONMMUT000248.2 	NONHSAT127268.2
NONMMUT000252.2 	NONHSAT081595.2
NONMMUT000253.2 	NONHSAT211438.1
NONMMUT000255.2 	NONHSAT204311.1
NONMMUT000257.2 	NONHSAT222452.1
NONMMUT000261.2 	NONHSAT036476.2
NONMMUT000262.2 	NONHSAT149059.1
NONMMUT000263.2 	NONHSAT133133.2
NONMMUT000264.2 	NONHSAT032224.2
NONMMUT000265.2 	NONHSAT219013.1
NONMMUT000266.2 	NONHSAT003328.2
NONMMUT000268.2 	NONHSAT214789.1
NONMMUT000269.2 	NONHSAT149428.1
NONMMUT000270.2 	NONHSAT198385.1
NONMMUT000271.2 	NONHSAT005480.2
NONMMUT000272.2 	NONHSAT080098.2
NONMMUT000273.2 	NONHSAT232564.1
NONMMUT000275.2 	NONHSAT233118.1
NONMMUT000279.2 	NONHSAT232566.1
NONMMUT000280.2 	NONHSAT232566.1
NONMMUT000281.2 	NONHSAT102280.2
NONMMUT000282.2 	NONHSAT013665.2
NONMMUT000283.2 	NONHSAT077942.2
NONMMUT000285.2 	NONHSAT093364.2
NONMMUT000286.2 	NONHSAT214219.1
NONMMUT000287.2 	NONHSAT040294.2
NONMMUT000291.2 	NONHSAT251386.1
NONMMUT000292.2 	NONHSAT069378.2
NONMMUT000293.2 	NONHSAT214450.1
NONMMUT000294.2 	NONHSAT207372.1
NONMMUT000295.2 	NONHSAT245616.1
NONMMUT000296.2 	NONHSAT207372.1
NONMMUT000305.2 	NONHSAT244396.1
NONMMUT000306.2 	NONHSAT252345.1
NONMMUT000307.2 	NONHSAT060669.2
NONMMUT000309.2 	NONHSAT226940.1
NONMMUT000311.2 	NONHSAT077942.2
NONMMUT000312.2 	NONHSAT113144.2
NONMMUT000313.2 	NONHSAT228604.1
NONMMUT000315.2 	NONHSAT113142.2
NONMMUT000317.2 	NONHSAT060667.2
NONMMUT000318.2 	NONHSAT068602.2
NONMMUT000322.2 	NONHSAT257815.1
NONMMUT000323.2 	NONHSAT227174.1
NONMMUT000324.2 	NONHSAT203753.1
NONMMUT000326.2 	NONHSAT207442.1
NONMMUT000327.2 	NONHSAT201064.1
NONMMUT000328.2 	NONHSAT247580.1
NONMMUT000329.2 	NONHSAT130994.2
NONMMUT000330.2 	NONHSAT244963.1
NONMMUT000332.2 	NONHSAT128363.2
NONMMUT000333.2 	NONHSAT172717.1
NONMMUT000334.2 	NONHSAT067342.2
NONMMUT000335.2 	NONHSAT205191.1
NONMMUT000336.2 	NONHSAT209306.1
NONMMUT000337.2 	NONHSAT257424.1
NONMMUT000338.2 	NONHSAT240857.1
NONMMUT000339.2 	NONHSAT243542.1
NONMMUT000340.2 	NONHSAT204373.1
NONMMUT000341.2 	NONHSAT099965.2
NONMMUT000342.2 	NONHSAT013600.2
NONMMUT000343.2 	NONHSAT150304.1
NONMMUT000344.2 	NONHSAT222278.1
NONMMUT000347.2 	NONHSAT113507.2
NONMMUT000348.2 	NONHSAT113510.2
NONMMUT000350.2 	NONHSAT252394.1
NONMMUT000353.2 	NONHSAT077798.2
NONMMUT000356.2 	NONHSAT121629.2
NONMMUT000357.2 	NONHSAT047128.2
NONMMUT000358.2 	NONHSAT137899.2
NONMMUT000359.2 	NONHSAT051830.2
NONMMUT000361.2 	NONHSAT108066.2
NONMMUT000362.2 	NONHSAT099968.2
NONMMUT000364.2 	NONHSAT077798.2
NONMMUT000365.2 	NONHSAT246887.1
NONMMUT000366.2 	NONHSAT158915.1
NONMMUT000368.2 	NONHSAT242824.1
NONMMUT000371.2 	NONHSAT098194.2
NONMMUT000372.2 	NONHSAT099137.2
NONMMUT000374.2 	NONHSAT253744.1
NONMMUT000375.2 	NONHSAT222398.1
NONMMUT000377.2 	NONHSAT222409.1
NONMMUT000378.2 	NONHSAT000091.2
NONMMUT000379.2 	NONHSAT000091.2
NONMMUT000380.2 	NONHSAT150930.1
NONMMUT000381.2 	NONHSAT221882.1
NONMMUT000382.2 	NONHSAT249739.1
NONMMUT000384.2 	NONHSAT126347.2
NONMMUT000386.2 	NONHSAT198933.1
NONMMUT000389.2 	NONHSAT116334.2
NONMMUT000390.2 	NONHSAT124597.2
NONMMUT000392.2 	NONHSAT247156.1
NONMMUT000393.2 	NONHSAT148903.1
NONMMUT000394.2 	NONHSAT099966.2
NONMMUT000395.2 	NONHSAT130994.2
NONMMUT000396.2 	NONHSAT082317.2
NONMMUT000397.2 	NONHSAT184808.1
NONMMUT000399.2 	NONHSAT233115.1
NONMMUT000400.2 	NONHSAT166069.1
NONMMUT000403.2 	NONHSAT139636.2
NONMMUT000406.2 	NONHSAT186544.1
NONMMUT000407.2 	NONHSAT242100.1
NONMMUT000408.2 	NONHSAT234351.1
NONMMUT000409.2 	NONHSAT205517.1
NONMMUT000410.2 	NONHSAT076100.2
NONMMUT000414.2 	NONHSAT185366.1
NONMMUT000416.2 	NONHSAT248259.1
NONMMUT000417.2 	NONHSAT009802.2
NONMMUT000418.2 	NONHSAT215981.1
NONMMUT000420.2 	NONHSAT156447.1
NONMMUT000421.2 	NONHSAT239843.1
NONMMUT000422.2 	NONHSAT119308.2
NONMMUT000423.2 	NONHSAT232200.1
NONMMUT000429.2 	NONHSAT048324.2
NONMMUT000430.2 	NONHSAT230126.1
NONMMUT000432.2 	NONHSAT183268.1
NONMMUT000433.2 	NONHSAT196954.1
NONMMUT000437.2 	NONHSAT075062.2
NONMMUT000439.2 	NONHSAT243140.1
NONMMUT000442.2 	NONHSAT184591.1
NONMMUT000443.2 	NONHSAT099966.2
NONMMUT000444.2 	NONHSAT226940.1
NONMMUT000447.2 	NONHSAT113350.2
NONMMUT000448.2 	NONHSAT246152.1
NONMMUT000449.2 	NONHSAT257593.1
NONMMUT000454.2 	NONHSAT243140.1
NONMMUT000455.2 	NONHSAT199871.1
NONMMUT000456.2 	NONHSAT243153.1
NONMMUT000457.2 	NONHSAT204471.1
NONMMUT000458.2 	NONHSAT236881.1
NONMMUT000459.2 	NONHSAT208006.1
NONMMUT000462.2 	NONHSAT015348.2
NONMMUT000463.2 	NONHSAT015348.2
NONMMUT000464.2 	NONHSAT078914.2
NONMMUT000465.2 	NONHSAT228063.1
NONMMUT000467.2 	NONHSAT228063.1
NONMMUT000468.2 	NONHSAT073792.2
NONMMUT000470.2 	NONHSAT252424.1
NONMMUT000471.2 	NONHSAT251232.1
NONMMUT000472.2 	NONHSAT099967.2
NONMMUT000474.2 	NONHSAT162510.1
NONMMUT000477.2 	NONHSAT156447.1
NONMMUT000480.2 	NONHSAT219996.1
NONMMUT000482.2 	NONHSAT062782.2
NONMMUT000483.2 	NONHSAT119702.2
NONMMUT000488.2 	NONHSAT242181.1
NONMMUT000489.2 	NONHSAT211797.1
NONMMUT000490.2 	NONHSAT164999.1
NONMMUT000493.2 	NONHSAT179455.1
NONMMUT000494.2 	NONHSAT229248.1
NONMMUT000496.2 	NONHSAT191916.1
NONMMUT000497.2 	NONHSAT252949.1
NONMMUT000500.2 	NONHSAT207404.1
NONMMUT000502.2 	NONHSAT097326.2
NONMMUT000503.2 	NONHSAT003328.2
NONMMUT000506.2 	NONHSAT243266.1
NONMMUT000509.2 	NONHSAT181540.1
NONMMUT000510.2 	NONHSAT070043.2
NONMMUT000511.2 	NONHSAT181541.1
NONMMUT000513.2 	NONHSAT136687.2
NONMMUT000514.2 	NONHSAT232311.1
NONMMUT000515.2 	NONHSAT060669.2
NONMMUT000518.2 	NONHSAT224367.1
NONMMUT000519.2 	NONHSAT245844.1
NONMMUT000520.2 	NONHSAT254328.1
NONMMUT000522.2 	NONHSAT074044.2
NONMMUT000524.2 	NONHSAT253759.1
NONMMUT000525.2 	NONHSAT031595.2
NONMMUT000526.2 	NONHSAT240725.1
NONMMUT000527.2 	NONHSAT099965.2
NONMMUT000528.2 	NONHSAT094942.2
NONMMUT000530.2 	NONHSAT096108.2
NONMMUT000531.2 	NONHSAT258884.1
NONMMUT000534.2 	NONHSAT158865.1
NONMMUT000535.2 	NONHSAT238522.1
NONMMUT000537.2 	NONHSAT187484.1
NONMMUT000539.2 	NONHSAT185681.1
NONMMUT000540.2 	NONHSAT130782.2
NONMMUT000541.2 	NONHSAT183547.1
NONMMUT000542.2 	NONHSAT239997.1
NONMMUT000543.2 	NONHSAT257815.1
NONMMUT000544.2 	NONHSAT060668.2
NONMMUT000548.2 	NONHSAT001162.2
NONMMUT000553.2 	NONHSAT204093.1
NONMMUT000554.2 	NONHSAT180483.1
NONMMUT000555.2 	NONHSAT106643.2
NONMMUT000557.2 	NONHSAT078271.2
NONMMUT000558.2 	NONHSAT072581.2
NONMMUT000559.2 	NONHSAT162685.1
NONMMUT000560.2 	NONHSAT243140.1
NONMMUT000561.2 	NONHSAT243140.1
NONMMUT000562.2 	NONHSAT243140.1
NONMMUT000563.2 	NONHSAT248701.1
NONMMUT000564.2 	NONHSAT121629.2
NONMMUT000565.2 	NONHSAT176284.1
NONMMUT000566.2 	NONHSAT163951.1
NONMMUT000567.2 	NONHSAT224739.1
NONMMUT000569.2 	NONHSAT077942.2
NONMMUT000571.2 	NONHSAT094175.2
NONMMUT000573.2 	NONHSAT193007.1
NONMMUT000575.2 	NONHSAT072592.2
NONMMUT000576.2 	NONHSAT222754.1
NONMMUT000579.2 	NONHSAT185155.1
NONMMUT000581.2 	NONHSAT142394.2
NONMMUT000584.2 	NONHSAT085056.2
NONMMUT000585.2 	NONHSAT219528.1
NONMMUT000587.2 	NONHSAT085056.2
NONMMUT000588.2 	NONHSAT231620.1
NONMMUT000589.2 	NONHSAT245323.1
NONMMUT000590.2 	NONHSAT196708.1
NONMMUT000591.2 	NONHSAT095624.2
NONMMUT000592.2 	NONHSAT128008.2
NONMMUT000593.2 	NONHSAT204379.1
NONMMUT000594.2 	NONHSAT155695.1
NONMMUT000595.2 	NONHSAT242537.1
NONMMUT000596.2 	NONHSAT004336.2
NONMMUT000599.2 	NONHSAT240816.1
NONMMUT000601.2 	NONHSAT185165.1
NONMMUT000602.2 	NONHSAT185165.1
NONMMUT000606.2 	NONHSAT054945.2
NONMMUT000607.2 	NONHSAT178675.1
NONMMUT000609.2 	NONHSAT242181.1
NONMMUT000612.2 	NONHSAT184171.1
NONMMUT000613.2 	NONHSAT023985.2
NONMMUT000614.2 	NONHSAT008427.2
NONMMUT000616.2 	NONHSAT191025.1
NONMMUT000619.2 	NONHSAT171637.1
NONMMUT000620.2 	NONHSAT227482.1
NONMMUT000621.2 	NONHSAT115364.2
NONMMUT000622.2 	NONHSAT171637.1
NONMMUT000623.2 	NONHSAT176331.1
NONMMUT000624.2 	NONHSAT242537.1
NONMMUT000625.2 	NONHSAT081033.2
NONMMUT000626.2 	NONHSAT007542.2
NONMMUT000627.2 	NONHSAT094456.2
NONMMUT000628.2 	NONHSAT200689.1
NONMMUT000629.2 	NONHSAT236136.1
NONMMUT000630.2 	NONHSAT235512.1
NONMMUT000631.2 	NONHSAT240262.1
NONMMUT000633.2 	NONHSAT014181.2
NONMMUT000636.2 	NONHSAT115862.2
NONMMUT000639.2 	NONHSAT077942.2
NONMMUT000641.2 	NONHSAT100625.2
NONMMUT000642.2 	NONHSAT094233.2
NONMMUT000644.2 	NONHSAT159772.1
NONMMUT000645.2 	NONHSAT178361.1
NONMMUT000646.2 	NONHSAT231890.1
NONMMUT000648.2 	NONHSAT096108.2
NONMMUT000649.2 	NONHSAT154891.1
NONMMUT000650.2 	NONHSAT222156.1
NONMMUT000651.2 	NONHSAT231686.1
NONMMUT000652.2 	NONHSAT003328.2
NONMMUT000653.2 	NONHSAT191906.1
NONMMUT000654.2 	NONHSAT237581.1
NONMMUT000655.2 	NONHSAT157764.1
NONMMUT000656.2 	NONHSAT219137.1
NONMMUT000657.2 	NONHSAT099966.2
NONMMUT000658.2 	NONHSAT182253.1
NONMMUT000659.2 	NONHSAT208133.1
NONMMUT000660.2 	NONHSAT247156.1
NONMMUT000661.2 	NONHSAT234628.1
NONMMUT000662.2 	NONHSAT247156.1
NONMMUT000663.2 	NONHSAT205434.1
NONMMUT000664.2 	NONHSAT071268.2
NONMMUT000665.2 	NONHSAT099965.2
NONMMUT000666.2 	NONHSAT100914.2
NONMMUT000667.2 	NONHSAT188607.1
NONMMUT000668.2 	NONHSAT257815.1
NONMMUT000669.2 	NONHSAT148809.1
NONMMUT000670.2 	NONHSAT099966.2
NONMMUT000671.2 	NONHSAT176284.1
NONMMUT000672.2 	NONHSAT072787.2
NONMMUT000673.2 	NONHSAT210030.1
NONMMUT000676.2 	NONHSAT044127.2
NONMMUT000677.2 	NONHSAT235205.1
NONMMUT000678.2 	NONHSAT185203.1
NONMMUT000680.2 	NONHSAT185203.1
NONMMUT000684.2 	NONHSAT203544.1
NONMMUT000685.2 	NONHSAT248962.1
NONMMUT000686.2 	NONHSAT182270.1
NONMMUT000687.2 	NONHSAT183636.1
NONMMUT000688.2 	NONHSAT242357.1
NONMMUT000689.2 	NONHSAT238250.1
NONMMUT000690.2 	NONHSAT243129.1
NONMMUT000691.2 	NONHSAT206020.1
NONMMUT000692.2 	NONHSAT228282.1
NONMMUT000693.2 	NONHSAT040293.2
NONMMUT000695.2 	NONHSAT221568.1
NONMMUT000697.2 	NONHSAT021386.2
NONMMUT000698.2 	NONHSAT077942.2
NONMMUT000701.2 	NONHSAT243140.1
NONMMUT000705.2 	NONHSAT240255.1
NONMMUT000709.2 	NONHSAT246853.1
NONMMUT000711.2 	NONHSAT238256.1
NONMMUT000712.2 	NONHSAT148579.1
NONMMUT000714.2 	NONHSAT169019.1
NONMMUT000715.2 	NONHSAT080154.2
NONMMUT000717.2 	NONHSAT235718.1
NONMMUT000719.2 	NONHSAT247156.1
NONMMUT000720.2 	NONHSAT183547.1
NONMMUT000721.2 	NONHSAT214903.1
NONMMUT000722.2 	NONHSAT115575.2
NONMMUT000723.2 	NONHSAT098032.2
NONMMUT000725.2 	NONHSAT072911.2
NONMMUT000726.2 	NONHSAT072911.2
NONMMUT000727.2 	NONHSAT072912.2
NONMMUT000728.2 	NONHSAT072911.2
NONMMUT000729.2 	NONHSAT072912.2
NONMMUT000730.2 	NONHSAT182310.1
NONMMUT000731.2 	NONHSAT254118.1
NONMMUT000732.2 	NONHSAT129263.2
NONMMUT000734.2 	NONHSAT242375.1
NONMMUT000735.2 	NONHSAT072957.2
NONMMUT000736.2 	NONHSAT072957.2
NONMMUT000737.2 	NONHSAT072950.2
NONMMUT000738.2 	NONHSAT072952.2
NONMMUT000739.2 	NONHSAT082317.2
NONMMUT000740.2 	NONHSAT183210.1
NONMMUT000741.2 	NONHSAT072956.2
NONMMUT000742.2 	NONHSAT072961.2
NONMMUT000743.2 	NONHSAT072961.2
NONMMUT000744.2 	NONHSAT240916.1
NONMMUT000745.2 	NONHSAT072959.2
NONMMUT000747.2 	NONHSAT099966.2
NONMMUT000750.2 	NONHSAT072964.2
NONMMUT000751.2 	NONHSAT072965.2
NONMMUT000752.2 	NONHSAT243331.1
NONMMUT000753.2 	NONHSAT072964.2
NONMMUT000754.2 	NONHSAT077798.2
NONMMUT000755.2 	NONHSAT185256.1
NONMMUT000756.2 	NONHSAT194687.1
NONMMUT000758.2 	NONHSAT168349.1
NONMMUT000762.2 	NONHSAT072980.2
NONMMUT000763.2 	NONHSAT004775.2
NONMMUT000764.2 	NONHSAT148809.1
NONMMUT000765.2 	NONHSAT071268.2
NONMMUT000767.2 	NONHSAT040293.2
NONMMUT000768.2 	NONHSAT151405.1
NONMMUT000770.2 	NONHSAT135720.2
NONMMUT000772.2 	NONHSAT202904.1
NONMMUT000773.2 	NONHSAT188310.1
NONMMUT000774.2 	NONHSAT237255.1
NONMMUT000775.2 	NONHSAT096108.2
NONMMUT000776.2 	NONHSAT165358.1
NONMMUT000777.2 	NONHSAT232200.1
NONMMUT000778.2 	NONHSAT156447.1
NONMMUT000779.2 	NONHSAT201104.1
NONMMUT000785.2 	NONHSAT127292.2
NONMMUT000788.2 	NONHSAT166195.1
NONMMUT000790.2 	NONHSAT166197.1
NONMMUT000793.2 	NONHSAT241089.1
NONMMUT000795.2 	NONHSAT099966.2
NONMMUT000797.2 	NONHSAT246212.1
NONMMUT000798.2 	NONHSAT183547.1
NONMMUT000799.2 	NONHSAT082317.2
NONMMUT000800.2 	NONHSAT190071.1
NONMMUT000801.2 	NONHSAT017163.2
NONMMUT000802.2 	NONHSAT201418.1
NONMMUT000805.2 	NONHSAT249923.1
NONMMUT000812.2 	NONHSAT243616.1
NONMMUT000814.2 	NONHSAT035568.2
NONMMUT000818.2 	NONHSAT110812.2
NONMMUT000822.2 	NONHSAT216991.1
NONMMUT000824.2 	NONHSAT130993.2
NONMMUT000825.2 	NONHSAT167811.1
NONMMUT000826.2 	NONHSAT201979.1
NONMMUT000828.2 	NONHSAT100226.2
NONMMUT000839.2 	NONHSAT169633.1
NONMMUT000842.2 	NONHSAT148809.1
NONMMUT000843.2 	NONHSAT240086.1
NONMMUT000846.2 	NONHSAT197739.1
NONMMUT000847.2 	NONHSAT120963.2
NONMMUT000849.2 	NONHSAT194746.1
NONMMUT000850.2 	NONHSAT055806.2
NONMMUT000852.2 	NONHSAT183324.1
NONMMUT000853.2 	NONHSAT183324.1
NONMMUT000855.2 	NONHSAT164381.1
NONMMUT000856.2 	NONHSAT187898.1
NONMMUT000857.2 	NONHSAT076385.2
NONMMUT000858.2 	NONHSAT206995.1
NONMMUT000864.2 	NONHSAT199298.1
NONMMUT000865.2 	NONHSAT096108.2
NONMMUT000869.2 	NONHSAT243495.1
NONMMUT000870.2 	NONHSAT186098.1
NONMMUT000871.2 	NONHSAT233114.1
NONMMUT000875.2 	NONHSAT209250.1
NONMMUT000877.2 	NONHSAT188310.1
NONMMUT000878.2 	NONHSAT258554.1
NONMMUT000880.2 	NONHSAT025216.2
NONMMUT000882.2 	NONHSAT236881.1
NONMMUT000884.2 	NONHSAT162468.1
NONMMUT000885.2 	NONHSAT226237.1
NONMMUT000886.2 	NONHSAT243129.1
NONMMUT000887.2 	NONHSAT226237.1
NONMMUT000888.2 	NONHSAT142909.2
NONMMUT000889.2 	NONHSAT183547.1
NONMMUT000891.2 	NONHSAT100534.2
NONMMUT000893.2 	NONHSAT231686.1
NONMMUT000894.2 	NONHSAT115862.2
NONMMUT000895.2 	NONHSAT188167.1
NONMMUT000896.2 	NONHSAT222865.1
NONMMUT000899.2 	NONHSAT077942.2
NONMMUT000904.2 	NONHSAT136377.2
NONMMUT000907.2 	NONHSAT186075.1
NONMMUT000908.2 	NONHSAT186075.1
NONMMUT000910.2 	NONHSAT219033.1
NONMMUT000915.2 	NONHSAT246257.1
NONMMUT000922.2 	NONHSAT074302.2
NONMMUT000924.2 	NONHSAT154798.1
NONMMUT000925.2 	NONHSAT255242.1
NONMMUT000926.2 	NONHSAT085056.2
NONMMUT000928.2 	NONHSAT243266.1
NONMMUT000929.2 	NONHSAT180431.1
NONMMUT000936.2 	NONHSAT251362.1
NONMMUT000937.2 	NONHSAT183547.1
NONMMUT000938.2 	NONHSAT099966.2
NONMMUT000939.2 	NONHSAT099965.2
NONMMUT000940.2 	NONHSAT100501.2
NONMMUT000941.2 	NONHSAT100501.2
NONMMUT000942.2 	NONHSAT100501.2
NONMMUT000943.2 	NONHSAT100502.2
NONMMUT000944.2 	NONHSAT251895.1
NONMMUT000945.2 	NONHSAT214537.1
NONMMUT000947.2 	NONHSAT200033.1
NONMMUT000949.2 	NONHSAT031595.2
NONMMUT000951.2 	NONHSAT231686.1
NONMMUT000952.2 	NONHSAT229600.1
NONMMUT000954.2 	NONHSAT172563.1
NONMMUT000957.2 	NONHSAT099965.2
NONMMUT000960.2 	NONHSAT183387.1
NONMMUT000961.2 	NONHSAT094274.2
NONMMUT000962.2 	NONHSAT222418.1
NONMMUT000963.2 	NONHSAT091030.2
NONMMUT000965.2 	NONHSAT214219.1
NONMMUT000966.2 	NONHSAT168489.1
NONMMUT000967.2 	NONHSAT248663.1
NONMMUT000968.2 	NONHSAT191676.1
NONMMUT000972.2 	NONHSAT121629.2
NONMMUT000973.2 	NONHSAT168677.1
NONMMUT000974.2 	NONHSAT099969.2
NONMMUT000975.2 	NONHSAT148809.1
NONMMUT000977.2 	NONHSAT130993.2
NONMMUT000979.2 	NONHSAT220936.1
NONMMUT000980.2 	NONHSAT245153.1
NONMMUT000981.2 	NONHSAT172644.1
NONMMUT000982.2 	NONHSAT082317.2
NONMMUT000984.2 	NONHSAT247531.1
NONMMUT000985.2 	NONHSAT200033.1
NONMMUT000986.2 	NONHSAT241343.1
NONMMUT000987.2 	NONHSAT241347.1
NONMMUT000988.2 	NONHSAT076254.2
NONMMUT000989.2 	NONHSAT241343.1
NONMMUT000991.2 	NONHSAT243266.1
NONMMUT000992.2 	NONHSAT243140.1
NONMMUT000993.2 	NONHSAT210847.1
NONMMUT000995.2 	NONHSAT186161.1
NONMMUT000996.2 	NONHSAT186160.1
NONMMUT000997.2 	NONHSAT186160.1
NONMMUT000998.2 	NONHSAT186160.1
NONMMUT001001.2 	NONHSAT217878.1
NONMMUT001002.2 	NONHSAT212114.1
NONMMUT001008.2 	NONHSAT205156.1
